State number, State ,Total Guns Registered Per Capita,Gun Violence Incidents
40, Illinois ,11.44,5089
44, California ,8.71,4588
29, Florida ,16.35,4156
18, Texas ,20.79,2875
30, Ohio ,14.87,2701
20, Pennsylvania ,18.45,2172
31, North Carolina ,14.818,2141
51, New York ,3.83,2031
21, Georgia ,18.22,1994
11, Louisiana ,24.94,1987
33, Tennessee ,14.76,1874
48, Massachusetts ,5.41,1761
36, Missouri ,11.94,1730
17, South Carolina ,21.01,1721
27, Maryland , 17.03 , 1579 
26, Indiana , 17.1 , 1483 
5, Virginia , 36.34 , 1473 
6, Alabama , 33.15 , 1461 
41, Wisconsin , 11.19 , 1369 
45, Michigan , 6.59 , 1360 
46, New Jersey , 6.38 , 1342 
22, Kentucky , 18.2 , 1030 
37, Mississippi , 11.89 , 1029 
35, Washington , 12.4 , 881 
23, Oklahoma , 18.13 , 866 
8, Arkansas , 26.57 , 820 
28, Colorado , 16.48 , 809 
14, Connecticut , 22.96 , 780 
34, Minnesota , 14.22 , 759 
10, Arizona , 25.61 , 587 
43, Iowa , 9.05 , 586 
24, Kansas , 18.06 , 578 
32, Oregon , 14.815 , 511 
4, New Mexico , 46.73 , 448 
38, Nebraska , 11.57 , 439 
9, Nevada , 25.64 , 438 
19, West Virginia , 19.42 , 390 
49, Delaware , 5.04 , 389 
15, Alaska , 21.38 , 317 
13, Utah , 23.48 , 224 
3, New Hampshire , 46.76 , 206 
39, Maine , 11.5 , 203 
12, South Dakota , 24.29 , 199 
50, Rhode Island , 3.98 , 191 
16, Montana , 21.06 , 167 
7, Idaho , 28.86 , 163 
25, North Dakota , 17.56 , 133 
1, Wyoming , 229.24 , 91 
42, Vermont , 9.41 , 71 
47, Hawaii , 5.5 , 68 
