"Sigla State","Total Gun Laws","Gun Violence Incidents","State","State number"
"IL","65","5089","Illinois","40"
"CA","106","4588","California","44"
"FL","21","4156","Florida","29"
"TX","18","2875","Texas","18"
"OH","16","2701","Ohio","30"
"PA","37","2172","Pennsylvania","20"
"NC","30","2141","North Carolina","31"
"NY","76","2031","New York","51"
"GA","6","1994","Georgia","21"
"LA","13","1987","Louisiana","11"
"TN","22","1874","Tennessee","33"
"MA","101","1761","Massachusetts","48"
"MO","2","1730","Missouri","36"
"SC","12","1721","South Carolina","17"
"MD","64","1579","Maryland","27"
"IN","12","1483","Indiana","26"
"VA","13","1473","Virginia","5"
"AL","10","1461","Alabama","6"
"WI","23","1369","Wisconsin","41"
"MI","21","1360","Michigan","45"
"NJ","75","1342","New Jersey","46"
"KY","7","1030","Kentucky","22"
"MS","2","1029","Mississippi","37"
"WA","43","881","Washington","35"
"OK","9","866","Oklahoma","23"
"AR","11","820","Arkansas","8"
"CO","30","809","Colorado","28"
"CT","90","780","Connecticut","14"
"MN","41","759","Minnesota","34"
"AZ","8","587","Arizona","10"
"IA","24","586","Iowa","43"
"KS","4","578","Kansas","24"
"OR","35","511","Oregon","32"
"NM","10","448","New Mexico","4"
"NE","22","439","Nebraska","38"
"NV","21","438","Nevada","9"
"WV","18","390","West Virginia","19"
"DE","40","389","Delaware","49"
"AK","3","317","Alaska","15"
"UT","13","224","Utah","13"
"NH","9","206","New Hampshire","3"
"ME","11","203","Maine","39"
"SD","5","199","South Dakota","12"
"RI","53","191","Rhode Island","50"
"MT","4","167","Montana","16"
"ID","2","163","Idaho","7"
"ND","10","133","North Dakota","25"
"WY","6","91","Wyoming","1"
"VT","6","71","Vermont","42"
"HI","79","68","Hawaii","47"
