"State number","State","Total Guns Registered","GunViolence Incidents by State"
"40","Illinois","146487","5089"
"44","California","344622","4588"
"29","Florida","343288","4156"
"18","Texas","588696","2875"
"30","Ohio","173405","2701"
"20","Pennsylvania","236377","2172"
"31","North Carolina","152238","2141"
"51","New York","76207","2031"
"21","Georgia","190050","1994"
"11","Louisiana","116831","1987"
"33","Tennessee","99159","1874"
"48","Massachusetts","37152","1761"
"36","Missouri","72996","1730"
"17","South Carolina","105601","1721"
"27","Maryland","103109","1579"
"26","Indiana","114019","1483"
"5","Virginia","307822","1473"
"6","Alabama","161641","1461"
"41","Wisconsin","64878","1369"
"45","Michigan","65742","1360"
"46","New Jersey","57507","1342"
"22","Kentucky","81068","1030"
"37","Mississippi","35494","1029"
"35","Washington","91835","881"
"23","Oklahoma","71269","866"
"8","Arkansas","79841","820"
"28","Colorado","92435","809"
"14","Connecticut","82400","780"
"34","Minnesota","79307","759"
"10","Arizona","179738","587"
"43","Iowa","28494","586"
"24","Kansas","52634","578"
"32","Oregon","61383","511"
"4","New Mexico","97580","448"
"38","Nebraska","22234","439"
"9","Nevada","76888","438"
"19","West Virginia","35264","390"
"49","Delaware","4852","389"
"15","Alaska","15824","317"
"13","Utah","72856","224"
"3","New Hampshire","64135","206"
"39","Maine","15371","203"
"12","South Dakota","21130","199"
"50","Rhode Island","37152","191"
"16","Montana","22133","167"
"7","Idaho","49566","163"
"25","North Dakota","13272","133"
"1","Wyoming","132806","91"
"42","Vermont","5872","71"
"47","Hawaii","7859","68"
