State,Total State Population (2021),Total COVID-19 Cases (As of 09/17/2021),Percentage of population infected,COVID-19 Cases per capita (As of 09/17/2021),COVID-19 Deaths,Death Rate,Population Density (2020),Total cases rank,Per Capita Rank,Population density rank,Case vs density difference,Per capita vs density difference,Mask Mandate Start,Mask Mandate End,Total Mask Days,Party,Vaccination Rate (1 dose),Vaccination Rate (2 dose),Vaccine Rank,SDOHi 2019,Well-Being Index 2019
California,39613493,4610847,11.64%,11669,66994,1.45%,252.74,1,8,12,-11,-4,"June 18, 2020",None,458,D,70.4%,57.5%,17,6,10
Texas,29730311,3908248,13.15%,13479,59959,1.53%,39.54,2,22,41,-39,-19,"July 3, 2020","March 10, 2021",250,R,58.7%,49.5%,33,31,20
Florida,21944577,3473873,15.83%,16174,50811,1.46%,405.45,3,40,9,-6,31,None,None,0,R,65.8%,55.6%,22,23,7
New York,19299981,2356680,12.21%,12114,54574,2.32%,410.32,4,10,8,-4,2,"April 15, 2020",None,522,D,69.6%,62.1%,9,2,22
Illinois,12569321,1586741,12.62%,12522,27113,1.71%,226.73,5,12,13,-8,-1,"May 1, 2020",None,427,D,67.4%,52.5%,26,12,15
Georgia,10830007,1519522,14.03%,14312,24460,1.61%,186.26,6,27,18,-12,9,None,None,0,R,53.5%,43.5%,46,39,40
Pennsylvania,12804123,1365049,10.66%,10663,28768,2.11%,285.73,7,1,11,-4,-10,"April 17, 2020","June 28, 2021",438,D,71.1%,56.7%,20,18,28
Ohio,11714618,1327614,11.33%,11358,21265,1.60%,286.19,8,5,10,-2,-5,"July 23, 2020","June 2, 2021",315,R,53.4%,49.3%,34,34,37
North Carolina,10701022,1322587,12.36%,12610,15520,1.17%,218.04,9,13,15,-6,-2,"June 26, 2020","May 14, 2021",323,D,58%,48.3%,37,38,31
Tennessee,6944260,1171722,16.87%,17158,14289,1.22%,112.40,10,42,25,-15,17,None,None,0,R,51.6%,43.8%,45,41,35
New Jersey,8874520,1126322,12.69%,12681,26606,2.36%,1207.83,11,14,2,9,12,"April 10, 2020","May 28, 2021",414,R,71.5%,63.1%,7,3,12
Michigan,9992427,1102957,11.04%,11044,21920,1.99%,176.31,12,3,19,-7,-16,"April 26, 2020","June 22, 2021",423,D,56%,51.4%,27,40,17
Arizona,7520103,1058774,14.08%,14546,19360,1.83%,65.33,13,30,33,-20,-3,None,None,0,R,58.3%,50%,30,28,24
Indiana,6805663,922320,13.55%,13700,15046,1.63%,188.56,14,26,17,-3,9,"July 27, 2020","April 6, 2021",254,R,51.3%,47.4%,39,42,39
Virginia,8603985,822985,9.57%,9642,12207,1.48%,115.78,15,52,23,-8,29,"May 29, 2020","May 15, 2021",351,D,66.9%,58.8%,15,13,18
